image_name,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
00.png,0.999017467386748;-0.01951432487219089;0.03979058910031915;0.03580410529229767;-0.17374693099514127;-0.9841392533650855;0.026118305848310826;0.9845969708944632;-0.17287752602655398,-0.011700149127917355;0.018812528601332625;0.39292089450723033,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
01.png,0.999147719991382;-0.021624129414769648;0.035160072000451896;0.03507100839198339;-0.004484366109474225;-0.9993747619541763;0.021768279821637208;0.9997561140036355;-0.003722164149712992,-0.011610785964818585;0.016710808069866724;0.3904348025368086,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
02.png,0.9992527616183833;-0.02402019259931326;0.030281161561702366;0.03401506827119704;0.17446571991611926;-0.9840755497951647;0.018354659586596225;0.9843702265517997;0.1751524009250745,-0.011589797430545654;0.014113680489915202;0.3883381399691822,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
03.png,0.9993946226667176;-0.02356062921667625;0.025598533859643915;0.03207163399533079;0.3387496556434208;-0.9403297725236256;0.013483266581899838;0.9405815050022929;0.339300212157174,-0.011471598819000773;0.011325953000912126;0.38663455605386887,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
04.png,0.9995276708105233;-0.02256816267742356;0.020859370015773024;0.029327975512817118;0.49769391270506835;-0.8668567581259542;0.009181782855697686;0.8670590794690317;0.4981207158650458,-0.011389007765655301;0.008237801582322509;0.38546171231233306,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
05.png,0.9996508712946184;-0.02057866169828703;0.016572694488755473;0.025910442123840943;0.6406294211849042;-0.7674129225529379;0.0051753752383049845;0.7675744025141809;0.6409389612873762,-0.011340768602887843;0.0050113590161560825;0.3849259076446728,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
06.png,0.9997589240887435;-0.01809022640438513;0.01244336825606484;0.021847809539960697;0.7632719037230418;-0.6457078861260013;0.002183328473582819;0.6458240818486422;0.7634831290743331,-0.011310620170727197;0.0017763996813955204;0.3849400769800587,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
07.png,0.999852824569755;-0.014750614460690713;0.00876062628552684;0.017153863295298732;0.8676635933497974;-0.4968557474251092;-0.0002723489100487971;0.49693290105239535;0.8677889246111186,-0.011297903305817283;-0.0015550186280930724;0.3855616200402635,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
08.png,0.9999209993742842;-0.011167800855566883;0.0057684689808561295;0.01247355523973238;0.9382432586027623;-0.3457513530069718;-0.0015509448778227432;0.3457959917502235;0.9383084389791373,-0.011324646432420298;-0.004476275186944464;0.3867295302620051,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
09.png,0.9999696493119541;-0.006658915485999459;0.004044663085854838;0.00726824089000155;0.9842775046604679;-0.17647936563158748;-0.00280590970857397;0.17650340694704153;0.9842960297627916,-0.011355337164742331;-0.007262958873662884;0.3884732280995598,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
10.png,0.9999943498849185;-0.0022025777953137;0.0025394584648806015;0.002227489511654928;0.9999490152730544;-0.00984911899230086;-0.0025176355404883353;0.009854719960740907;0.99994827166498,-0.011420845105457251;-0.009646912863820358;0.39059859947730585,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
11.png,0.9999932549312552;0.0029584964703106135;0.0021765547613169702;-0.0032859922867446247;0.9853826804348123;0.1703237369065051;-0.0016408371903716603;-0.17032974020334812;0.9853857555574744,-0.011477996981830177;-0.011793132779728217;0.393251075880409,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
12.png,0.9999647921526732;0.008021144572920644;0.002464892452332503;-0.008382620997041864;0.9414775074368236;0.33697156357141744;0.0003822568262476147;-0.33698036178728014;0.9415115982553973,-0.011529110958792122;-0.013377170841507064;0.3960384541558083,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
